# 12x12 grid, random capacities, 200 drones: scaling test.
nb_drones: 200

start_hub: g0_0 0 0 [color=green]
hub: g1_0 1 0 [max_drones=1]
hub: g2_0 2 0 [max_drones=1]
hub: g3_0 3 0 [max_drones=2]
hub: g4_0 4 0 [max_drones=1]
hub: g5_0 5 0 [max_drones=1]
hub: g6_0 6 0 [max_drones=1]
hub: g7_0 7 0 [max_drones=1]
hub: g8_0 8 0 [max_drones=1]
hub: g9_0 9 0 [max_drones=3]
hub: g10_0 10 0 [max_drones=1]
hub: g11_0 11 0 [max_drones=1]
hub: g0_1 0 1 [max_drones=1]
hub: g1_1 1 1 [max_drones=1]
hub: g2_1 2 1 [max_drones=1]
hub: g3_1 3 1 [max_drones=1]
hub: g4_1 4 1 [max_drones=1]
hub: g5_1 5 1 [max_drones=3]
hub: g6_1 6 1 [max_drones=1]
hub: g7_1 7 1 [max_drones=3]
hub: g8_1 8 1 [max_drones=2]
hub: g9_1 9 1 [max_drones=1]
hub: g10_1 10 1 [max_drones=1]
hub: g11_1 11 1 [max_drones=3]
hub: g0_2 0 2 [max_drones=2]
hub: g1_2 1 2 [max_drones=2]
hub: g2_2 2 2 [max_drones=1]
hub: g3_2 3 2 [max_drones=1]
hub: g4_2 4 2 [max_drones=2]
hub: g5_2 5 2 [max_drones=1]
hub: g6_2 6 2 [max_drones=1]
hub: g7_2 7 2 [max_drones=3]
hub: g8_2 8 2 [max_drones=1]
hub: g9_2 9 2 [max_drones=2]
hub: g10_2 10 2 [max_drones=2]
hub: g11_2 11 2 [max_drones=2]
hub: g0_3 0 3 [max_drones=1]
hub: g1_3 1 3 [max_drones=3]
hub: g2_3 2 3 [max_drones=1]
hub: g3_3 3 3 [max_drones=3]
hub: g4_3 4 3 [max_drones=1]
hub: g5_3 5 3 [max_drones=2]
hub: g6_3 6 3 [max_drones=2]
hub: g7_3 7 3 [max_drones=1]
hub: g8_3 8 3 [max_drones=1]
hub: g9_3 9 3 [max_drones=1]
hub: g10_3 10 3 [max_drones=1]
hub: g11_3 11 3 [max_drones=2]
hub: g0_4 0 4 [max_drones=1]
hub: g1_4 1 4 [max_drones=1]
hub: g2_4 2 4 [max_drones=1]
hub: g3_4 3 4 [max_drones=3]
hub: g4_4 4 4 [max_drones=2]
hub: g5_4 5 4 [max_drones=3]
hub: g6_4 6 4 [max_drones=2]
hub: g7_4 7 4 [max_drones=1]
hub: g8_4 8 4 [max_drones=2]
hub: g9_4 9 4 [max_drones=2]
hub: g10_4 10 4 [max_drones=1]
hub: g11_4 11 4 [max_drones=2]
hub: g0_5 0 5 [max_drones=1]
hub: g1_5 1 5 [max_drones=1]
hub: g2_5 2 5 [max_drones=1]
hub: g3_5 3 5 [max_drones=1]
hub: g4_5 4 5 [max_drones=3]
hub: g5_5 5 5 [max_drones=3]
hub: g6_5 6 5 [max_drones=2]
hub: g7_5 7 5 [max_drones=1]
hub: g8_5 8 5 [max_drones=2]
hub: g9_5 9 5 [max_drones=1]
hub: g10_5 10 5 [max_drones=1]
hub: g11_5 11 5 [max_drones=1]
hub: g0_6 0 6 [max_drones=2]
hub: g1_6 1 6 [max_drones=3]
hub: g2_6 2 6 [max_drones=2]
hub: g3_6 3 6 [max_drones=1]
hub: g4_6 4 6 [max_drones=1]
hub: g5_6 5 6 [max_drones=2]
hub: g6_6 6 6 [max_drones=1]
hub: g7_6 7 6 [max_drones=3]
hub: g8_6 8 6 [max_drones=3]
hub: g9_6 9 6 [max_drones=3]
hub: g10_6 10 6 [max_drones=1]
hub: g11_6 11 6 [max_drones=2]
